Period,Shop,Category,Drink,Quantity,Net Revenue,Gross Sales,Discounts,Transactions,Avg Price
Current 3M,Waterfordd,Milk tea,Vanilla Matcha,24.0,128.81,128.81,-4.39,21,5.37
Current 3M,Waterfordd,Namo Plus,Starboy,268.0,1106.07,1361.06,-2.61,245,4.13
Current 3M,Waterfordd,Smoothies,Mango Passionfruit smoothie,85.0,487.83,487.83,-5.75,80,5.74
Current 3M,Waterfordd,Smoothies,Strawberry Dream,151.0,864.82,864.82,-7.19,142,5.73
Current 3M,Waterfordd,Specials,Loaded Chipotle Wedges,90.0,1041.54,1180.85,-23.8,89,11.57
Current 3M,Waterfordd,Specials,Quesadilla,260.0,2937.72,3324.12,-55.28,245,11.3
Current 3M,Waterfordd,Specials,Strawberry Matcha,13.0,73.75,73.75,0.0,13,5.67
Current 3M,Waterfordd,Specials,Strawberry Oat Matcha,118.0,646.47,646.47,-0.52,113,5.48
Current 3M,Waterfordd,Specials,White Choc Matcha,207.0,1155.54,1155.54,-8.25,192,5.58
Current Oct-Mar,Carlow,Acai bowls & Smoothies,Classic acai,1583.0,13585.78,13585.78,-208.37,1427,8.58
Current Oct-Mar,Carlow,Acai bowls & Smoothies,MangoLoco,165.0,1480.1,1480.1,-8.9,158,8.97
Current Oct-Mar,Carlow,Coffee & more,Americano,149.0,506.93,506.93,-15.77,138,3.4
Current Oct-Mar,Carlow,Coffee & more,Bueno iced latte,319.0,1690.29,1690.29,-58.26,299,5.3
Current Oct-Mar,Carlow,Coffee & more,Cappuccino,221.0,862.95,862.95,-14.0,204,3.9
Current Oct-Mar,Carlow,Coffee & more,Chai latte,8.0,38.4,38.4,0.0,8,4.8
Current Oct-Mar,Carlow,Coffee & more,Dirty Chai,1.0,5.45,5.45,0.0,1,5.45
Current Oct-Mar,Carlow,Coffee & more,Double Espresso,1.0,3.5,3.5,0.0,1,3.5
Current Oct-Mar,Carlow,Coffee & more,Espresso,9.0,22.5,22.5,0.0,9,2.5
Current Oct-Mar,Carlow,Coffee & more,Flat white,52.0,187.6,187.6,0.0,49,3.61
Current Oct-Mar,Carlow,Coffee & more,Frappé,2.0,13.6,13.6,0.0,2,6.8
Current Oct-Mar,Carlow,Coffee & more,Hot Choc,43.0,147.33,147.33,-12.02,40,3.43
Current Oct-Mar,Carlow,Coffee & more,Iced Latte,67.0,262.75,262.75,-51.65,65,3.92
Current Oct-Mar,Carlow,Coffee & more,Iced Vanilla cold cap,40.0,218.3,218.3,0.0,31,5.46
Current Oct-Mar,Carlow,Coffee & more,Iced caramel latte,338.0,1769.63,1769.63,-56.97,321,5.24
Current Oct-Mar,Carlow,Coffee & more,Iced latte (1),2.0,8.8,8.8,0.0,2,4.4
Current Oct-Mar,Carlow,Coffee & more,Latte,201.0,776.14,776.14,-23.11,187,3.86
Current Oct-Mar,Carlow,Coffee & more,"Oat, Coconut Milk",8.0,3.31,4.05,0.0,7,0.41
Current Oct-Mar,Carlow,Coffee & more,Pistachio latte,47.0,229.8,229.8,-24.85,43,4.89
Current Oct-Mar,Carlow,Coffee & more,Tea,64.0,159.38,159.38,-0.62,62,2.49
Current Oct-Mar,Carlow,Coffee & more,Toasted brown sugar,210.0,1049.17,1049.17,-117.28,202,5.0
